TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.8464,Cube (8),3.1000,0.8608,0.1959,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9969,0.9998,4.1662,1.4197,-0.0606,-0.1550,0.6433,-0.2636,-0.7019
2025-06-04_20:49:54.8569,Cube (8),3.1000,0.8645,0.2517,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9969,0.9998,4.1656,1.4191,-0.0600,-0.1580,0.6396,-0.2646,-0.7042
2025-06-04_20:49:54.8674,Cube (8),3.1000,0.8565,0.2627,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9969,0.9998,4.1650,1.4183,-0.0595,-0.1606,0.6360,-0.2656,-0.7065
2025-06-04_20:49:54.8787,Cube (8),3.1000,0.8530,0.2849,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9987,0.9999,4.1644,1.4176,-0.0590,-0.1637,0.6326,-0.2660,-0.7087
2025-06-04_20:49:54.8907,Cube (8),3.1000,0.8061,0.3285,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9987,0.9999,4.1638,1.4172,-0.0586,-0.1657,0.6292,-0.2672,-0.7108
2025-06-04_20:49:54.9015,Cube (8),3.1000,0.7076,0.3677,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,1.0000,4.1633,1.4164,-0.0582,-0.1681,0.6260,-0.2677,-0.7129
2025-06-04_20:49:54.9123,Cube (8),3.1000,0.6989,0.3784,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,1.0000,4.1628,1.4157,-0.0578,-0.1706,0.6227,-0.2679,-0.7151
2025-06-04_20:49:54.9230,Cube (8),3.1000,0.6003,0.4089,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,1.0000,4.1624,1.4153,-0.0575,-0.1733,0.6196,-0.2681,-0.7171
2025-06-04_20:49:54.9351,Cube (8),3.1000,0.5059,0.4428,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,1.0000,4.1619,1.4146,-0.0572,-0.1759,0.6167,-0.2683,-0.7188
2025-06-04_20:49:54.9457,Cube (8),3.1000,0.4974,0.4535,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,1.0000,4.1615,1.4141,-0.0569,-0.1776,0.6138,-0.2688,-0.7208
2025-06-04_20:49:54.9569,Cube (8),3.1000,0.4475,0.4688,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,1.0000,4.1611,1.4138,-0.0565,-0.1805,0.6112,-0.2682,-0.7224
2025-06-04_20:49:54.9725,Cube (8),3.1000,0.3692,0.4925,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9999,1.0000,4.1606,1.4134,-0.0562,-0.1825,0.6087,-0.2677,-0.7243
